value,Nota
57.10142515269072,6
62.07422007428715,2
62.12071987139807,2
63.11656294510237,2
63.12234432511348,2
61.117652756371854,1
62.09826829954455,2
62.07295883777724,2
62.07563957854179,2
62.032296991579756,2
66.9803348945962,4
63.088045768786344,2
63.06993369619514,2
62.55848549837402,2
63.05577734754443,2
63.08611780852548,2
61.082432925238365,1
62.0758446977258,2
62.11698644677155,2
62.084795768365474,2
64.09496338250452,3
65.09672408025443,4
60.1114142594338,1
63.02318230542002,2
60.09990882717062,1
63.10686628395113,2
61.47935392008964,1
62.06617923040013,2
63.07413581786071,2
65.07314722223951,4
63.09854041695161,2
62.10436314524996,2
63.09190265412837,2
65.02593286675315,4
66.98099697117476,4
67.00558970768377,5
65.02038050075336,4
67.03070307815159,5
68.94720384434245,5
68.95137592172767,5
62.04323081162834,2
65.00577107888849,4
65.03721303126868,4
61.980627998091514,1
63.0106317759419,2
64.95922596654019,3
65.00654365896084,4
66.99911041768237,4
66.99011632432882,4
66.80998829467354,4
66.95117594799302,4
68.98191425891227,5
69.03104493721838,6
65.02574236927003,4
67.06177649880169,5
65.03178426903509,4
68.95121186851243,5
69.0093577797832,6
62.058819162348435,2
65.0556266306311,4
65.09323033955425,4
61.990808335105555,1
62.00426354028418,2
63.276424717137445,2
65.02495420019149,4
66.94960334016058,4
66.98256610941401,4
66.89463214572339,4
66.97825992027353,4
66.9782472259383,4
67.02402205110288,5
69.07171662276417,6
69.07282591747531,6
70.04639265701364,6
72.05092573978675,1
67.07796159014927,5
69.05336706528014,6
70.0379143726007,6
70.04784894419653,6
70.06108445742335,6
70.06560751964764,6
70.05952004702887,6
70.06622962193865,6
67.0807546645988,5
69.08567245059956,6
72.04600186814247,1
70.0571775217562,6
70.0497205886646,6
72.060338691227,1
72.94234342256861,1
74.06353583720968,2
70.04569439675853,6
72.08153312489306,1
75.05527611525987,2
47.06284812123812,7
43.08865226899169,5
43.02969863612024,5
45.15973698887938,6
45.10041462733928,6
45.070497781775394,6
45.08939173157235,6
45.19726037187216,6
50.02938323640704,2
49.97331277003242,1
50.083185915969466,2
49.95926107714473,1
50.1509040159852,2
50.08720245642238,2
50.00846109720183,2
50.09419712950273,2
50.02222333093698,2
49.943384566911526,1
50.082914499073915,2
50.04608357333917,2
50.076268252339325,2
50.067203229748245,2
50.10286203528672,2
52.06656974252168,3
52.086379140063485,3
50.03796078945004,2
50.047941267834936,2
50.050716746640326,2
51.83349415991224,2
51.995565844904746,2
52.03802124381101,3
52.02726231238255,3
50.115773640949996,2
50.1619150035947,2
50.12818773242321,2
50.088614096820145,2
50.097524853962405,2
50.10599958552364,2
52.043096566216136,3
54.19087822406652,4
54.15801993568441,4
52.25240896967713,3
52.2440647194445,3
52.14354317419297,3
52.184598126648496,3
52.2003987946003,3
52.240893752268526,3
52.01504932221735,3
55.14780286818275,5
55.07486003959374,5
55.12985586113162,5
55.09888665428871,5
54.871275620671284,4
57.19284526393478,6
57.22559912530536,6
57.27836328074883,6
57.0572530294832,6
57.23222457132568,6
57.19722091993055,6
57.154597579849266,6
57.146640000972276,6
57.1180922664669,6
56.40245328583226,5
57.118436042503646,6
57.108838932155734,6
57.22376431810453,6
57.18137189244564,6
57.24528420115938,6
57.110372426412084,6
57.11514729803996,6
57.10158978456309,6
57.08883868361859,6
57.099795405243604,6
57.098039246307266,6
53.13739677490604,4
55.15880635720884,5
55.15822716428728,5
57.1129736675591,6
57.14194451399081,6
57.163067286702464,6
55.12554274923178,5
57.16960831610294,6
57.13234554078896,6
55.14258474059493,5
57.14289377524386,6
59.163267827624814,7
57.161074505807235,6
57.15703732946773,6
57.17599128527344,6
57.1495550460032,6
57.18743989970373,6
57.13157954491726,6
60.2082483430936,1
60.14659798428836,1
60.250388593718355,1
60.269117482170444,1
60.1261094268815,1
62.10596247699976,2
62.11882762680615,2
62.08106522944261,2
60.08316459526496,1
62.11721155068761,2
62.097742642156696,2
60.06149642430834,1
62.05605679211403,2
60.05458295529161,1
60.061405075456236,1
60.058960921890794,1
